user,text,latitude,longitude
mikadssantos,"b'VOLTEIO (at @LabClubSp in S?o Paulo, SP w/ @caroolmattoss) https://t.co/l3t7ETJB2S'",-23.55168961,-46.65112254
mikadssantos,"b'VOLTEIO (at @LabClubSp in S?o Paulo, SP w/ @caroolmattoss) https://t.co/l3t7ETJB2S'",-23.55168961,-46.65112254
RangelVictor_,"b'#POPLINEFAZ11 (at @Cine_Joia in S?o Paulo, SP) https://t.co/UnuiJcpYED'",-23.55350211,-46.63573071
MalufCoach,"b'E na calada da noite, quando tudo d?i, ela cuida de mim. Com essa carinha boa, de quem tem o? https://t.co/zX5l4NIiiR'",-23.55,-46.6333
mariaemma16,"b""And it's been 29 years since #cowboyjunkies released #thetrinitysession . A great album. #music? https://t.co/5iZkE5el2J""",-23.55,-46.6333
todos_me_miran,"b'Acabou de publicar uma foto em S?o Paulo, Brazil https://t.co/z7mlr2Frhl'",-23.55,-46.6333
AndreRossanez,b'Depois de o entrevistar para o Me Gusta foi vez de conferir o talento de J?o na festa do Portal? https://t.co/30Se7qL9TH',-23.55342585,-46.6359827
PGJobs,"b'See our latest #S?oPaulo, SP #job and click to apply: Logistic (Transportation) Supervisor ? S?o... - https://t.co/JXtqbWHRe5 #Clerical'",-23.5505199,-46.6333094
mascaquetti,b'Se n?o ? o amor da minha vida eu n?o sei que ? ? em Cine Joia https://t.co/ICWV85Eb84',-23.55342585,-46.6359827
mariaemma16,"b""It's been 23 years that #Dink released their only self titled album. For those who don't know,? https://t.co/DWEpbQYBfg""",-23.55,-46.6333
ericobjork,b'Cr?me de la cr?m?! #hightsociety #sampa #clubjerome ? Club Jerome https://t.co/TeT3HS3swf',-23.5504256,-46.6589945
ericobjork,b'Jetset bapho no club.jerome! #hightsociety #clubjerome #sampa ? Club Jerome https://t.co/Mz16f7pc9u',-23.5504256,-46.6589945
minicriativas,b'Porscho 911 Martini Racing https://t.co/L3NdiARmWm https://t.co/pdpx0U85ap',-23.5505199,-46.6333094
Lordavalo,"b'Hora de alimentar a fera depois de um bem bom rock ?? (at @BellaPaulista in S?o Paulo, SP) https://t.co/htGUXgKWh3'",-23.556268,-46.65995637
caroolmattoss,"b'PARAB?NS LABZINHA DO MEU ??!!! (at @LabClubSp in S?o Paulo, SP w/ @philricelle @mikadssantos) https://t.co/hEOAXC5RXY'",-23.55168961,-46.65112254
